time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
3.320000000000000173e-01,6.412663362015138535e-01,6.372038514028838252e-01,7.622098668546836708e-02,7.214539656160781633e-02
3.340000000000000191e-01,6.391002658209807841e-01,6.351253239138018314e-01,7.695351645848978739e-02,7.285583941658650697e-02
3.360000000000000209e-01,6.369358029804609300e-01,6.331183999860142686e-01,7.768730290814357398e-02,7.368051668263050913e-02
3.380000000000000226e-01,6.347729730313229624e-01,6.310957961400698313e-01,7.842231496017862402e-02,7.452210038827151994e-02
3.400000000000000244e-01,6.326118012120597323e-01,6.288969902680160429e-01,7.915852166462430950e-02,7.540256975304025777e-02
3.420000000000000262e-01,6.304523126480654494e-01,6.268415710496768600e-01,7.989589219598891567e-02,7.615086953470766307e-02
3.440000000000000280e-01,6.282945323514121938e-01,6.246879313848817672e-01,8.063439585345787142e-02,7.684631061887269021e-02
3.460000000000000298e-01,6.261384852206272056e-01,6.224612496369434922e-01,8.137400206109220158e-02,7.777408705908450681e-02
3.480000000000000315e-01,6.239841960404695076e-01,6.201542506286353840e-01,8.211468036802681281e-02,7.854644286574385958e-02
3.500000000000000333e-01,6.218316894817073059e-01,6.179968223394074478e-01,8.285640044866883491e-02,7.926375920446557255e-02
3.519999999999999796e-01,6.196809901008942800e-01,6.157032658437424644e-01,8.359913210289597607e-02,8.001296072267041759e-02
3.539999999999999813e-01,6.175321223401468718e-01,6.133831808359138105e-01,8.434284525625490581e-02,8.070811073985226236e-02
3.559999999999999831e-01,6.153851105269214639e-01,6.112109285637895573e-01,8.508750996015956858e-02,8.142296970842907711e-02
3.579999999999999849e-01,6.132399789174406424e-01,6.090023344458073140e-01,8.583309634911627517e-02,8.222074045226318573e-02
3.599999999999999867e-01,6.110967518495323825e-01,6.070154070629494303e-01,8.657957449023481744e-02,8.309409820821300752e-02
3.619999999999999885e-01,6.089554533808089198e-01,6.048335301661884600e-01,8.732691473941570082e-02,8.385966832873316401e-02
3.639999999999999902e-01,6.068161074264246668e-01,6.026474906734439196e-01,8.807508760570845197e-02,8.455100498631860917e-02
3.659999999999999920e-01,6.046787377887514747e-01,6.004736631153521076e-01,8.882406372207464484e-02,8.532652986731970035e-02
3.679999999999999938e-01,6.025433681572308631e-01,5.982999495343716001e-01,8.957381384551232895e-02,8.611081812919167688e-02
3.699999999999999956e-01,6.004100221082259159e-01,5.964151654435052574e-01,9.032430885718063795e-02,8.674426336669999182e-02
3.719999999999999973e-01,5.982787231048731780e-01,5.944210548656490012e-01,9.107551976252428738e-02,8.750073834549099150e-02
3.739999999999999991e-01,5.961494944969344401e-01,5.922412135780737996e-01,9.182741769139804444e-02,8.814166184106132784e-02
3.760000000000000009e-01,5.940223595206489682e-01,5.901659095246385434e-01,9.257997389819133671e-02,8.890644686628339233e-02
3.780000000000000027e-01,5.918973412985848448e-01,5.881405796107942452e-01,9.333315976195269426e-02,8.979685202692880286e-02
3.800000000000000044e-01,5.897744628394916422e-01,5.861042188003972031e-01,9.408694678651435828e-02,9.046888736995083169e-02
3.820000000000000062e-01,5.876537470381515416e-01,5.840178374216181689e-01,9.484130660061670937e-02,9.144316193549514860e-02
3.840000000000000080e-01,5.855352166752321175e-01,5.817133531633642551e-01,9.559621095803289004e-02,9.209833581828938409e-02
3.860000000000000098e-01,5.834188944171373459e-01,5.795328330664037964e-01,9.635163173769320522e-02,9.292815136420573552e-02
3.880000000000000115e-01,5.813048028158601666e-01,5.776540223265637097e-01,9.710754094380980028e-02,9.372366369361302685e-02
3.900000000000000133e-01,5.791929643088340462e-01,5.755194660187080702e-01,9.786391070600101993e-02,9.432451726044090157e-02
3.920000000000000151e-01,5.770834012187850970e-01,5.733233577148008075e-01,9.862071327941605847e-02,9.513974441992176234e-02
3.940000000000000169e-01,5.749761357535837503e-01,5.710812948625693108e-01,9.937792104485942968e-02,9.578080484088685731e-02
3.960000000000000187e-01,5.728711900060970974e-01,5.688565017149029845e-01,1.001355065089154645e-01,9.649404782665663149e-02
3.980000000000000204e-01,5.707685859540402307e-01,5.668845427817804650e-01,1.008934423040729056e-01,9.724763251157521327e-02
4.000000000000000222e-01,5.686683454598286946e-01,5.647340189276101041e-01,1.016517011888493777e-01,9.805297325055248314e-02
4.020000000000000240e-01,5.665704902704300494e-01,5.627934406404476730e-01,1.024102560479158985e-01,9.871555710067130007e-02
4.040000000000000258e-01,5.644750420172157668e-01,5.607247321920798555e-01,1.031690798922214325e-01,9.939651613487850146e-02
4.060000000000000275e-01,5.623820222158135707e-01,5.586608658380232129e-01,1.039281458591174712e-01,1.000576980513783049e-01
