time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
2.899999999999999800e-01,6.870790643352119309e-01,6.827321483407537972e-01,6.118450296990853021e-02,5.780340016718953089e-02
2.919999999999999818e-01,6.848852904983451229e-01,6.807143215423476779e-01,6.188324522260960081e-02,5.862131037665722216e-02
2.939999999999999836e-01,6.826925661006120194e-01,6.787715591234232404e-01,6.258392511094433563e-02,5.991896088041809287e-02
2.959999999999999853e-01,6.805009187873447551e-01,6.774970575662123684e-01,6.328650902108072518e-02,6.076709114498331926e-02
2.979999999999999871e-01,6.783103760933643089e-01,6.760900592421341671e-01,6.399096346158399118e-02,6.193990271643688705e-02
2.999999999999999889e-01,6.761209654426826310e-01,6.744710560685901468e-01,6.469725506368893819e-02,6.242090305842350889e-02
3.019999999999999907e-01,6.739327141482037709e-01,6.724980806393177080e-01,6.540535058157229131e-02,6.318346840108958473e-02
3.039999999999999925e-01,6.717456494114262266e-01,6.706369426500324860e-01,6.611521689262502000e-02,6.396438175951792149e-02
3.059999999999999942e-01,6.695597983221440730e-01,6.688466389425474778e-01,6.682682099772473128e-02,6.434172494300796630e-02
3.079999999999999960e-01,6.673751878897055123e-01,6.653156793345096354e-01,6.754012999046539456e-02,6.458783620010895288e-02
3.099999999999999978e-01,6.651918452180545227e-01,6.626455872778618250e-01,6.825511088494713718e-02,6.507060648747083065e-02
3.119999999999999996e-01,6.630097971468814633e-01,6.620398252776267256e-01,6.897173096875672260e-02,6.594381309303963545e-02
3.140000000000000013e-01,6.608290703646647613e-01,6.598297121169360846e-01,6.968995769174785027e-02,6.591517298227174415e-02
3.160000000000000031e-01,6.586496914496834387e-01,6.566259651628413296e-01,7.040975862567461219e-02,6.704539761690095356e-02
3.180000000000000049e-01,6.564716868697949570e-01,6.529620958221428184e-01,7.113110146438973713e-02,6.860214324571317634e-02
3.200000000000000067e-01,6.542950829822113956e-01,6.499663502089899625e-01,7.185395402404307075e-02,7.168447537744002118e-02
3.220000000000000084e-01,6.521199060332770747e-01,6.477723517683414700e-01,7.257828424327986139e-02,7.262426832333909732e-02
3.240000000000000102e-01,6.499461821582448451e-01,6.512662844195552525e-01,7.330406018343908758e-02,6.946318889763564153e-02
3.260000000000000120e-01,6.477739373810535994e-01,6.499747081264019011e-01,7.403125002875179939e-02,6.914638408614867671e-02
3.280000000000000138e-01,6.456031976141045625e-01,6.467264869145668005e-01,7.475982208653954297e-02,6.835177111271444061e-02
3.300000000000000155e-01,6.434339886580388024e-01,6.453671213075886648e-01,7.548974478741259098e-02,6.912901373299891461e-02
3.320000000000000173e-01,6.412663362015138535e-01,6.450099329240436274e-01,7.622098668546836708e-02,6.780001354764431110e-02
3.340000000000000191e-01,6.391002658209807841e-01,6.481637531983301947e-01,7.695351645848978739e-02,6.176546647226795195e-02
