time,density_n_site_1,positive_p_n_site_1
5.240000000000000213e-01,5.921471666722809557e-01,6.004632161585856664e-01
5.260000000000000231e-01,5.909640569077936334e-01,6.001966977311016249e-01
5.280000000000000249e-01,5.897833110133628987e-01,5.994250747737100982e-01
5.300000000000000266e-01,5.886049242642215074e-01,5.978623259198186934e-01
5.320000000000000284e-01,5.874288919449141000e-01,5.967590531410816856e-01
5.340000000000000302e-01,5.862552093492744421e-01,5.953798217501196088e-01
5.360000000000000320e-01,5.850838717804036637e-01,5.943869645245334343e-01
5.380000000000000338e-01,5.839148745506472782e-01,5.924710877142457255e-01
5.400000000000000355e-01,5.827482129815730882e-01,5.908403785769426042e-01
5.420000000000000373e-01,5.815838824039488708e-01,5.893371820611207346e-01
5.440000000000000391e-01,5.804218781577198394e-01,5.884883466735636448e-01
5.460000000000000409e-01,5.792621955919859955e-01,5.875277127460455384e-01
5.480000000000000426e-01,5.781048300649804794e-01,5.867121215492395736e-01
5.500000000000000444e-01,5.769497769440462553e-01,5.860369329674683936e-01
5.520000000000000462e-01,5.757970316056144622e-01,5.844624418979637026e-01
5.540000000000000480e-01,5.746465894351815429e-01,5.833332050524357992e-01
5.560000000000000497e-01,5.734984458272872621e-01,5.830307846679211314e-01
5.580000000000000515e-01,5.723525961854918354e-01,5.823173000659292997e-01
5.600000000000000533e-01,5.712090359223538361e-01,5.819575190670577269e-01
5.620000000000000551e-01,5.700677604594078796e-01,5.813227542843857343e-01
5.640000000000000568e-01,5.689287652271419748e-01,5.793697841775621304e-01
5.660000000000000586e-01,5.677920456649754311e-01,5.783637292324375068e-01
5.680000000000000604e-01,5.666575972212359869e-01,5.777207171642477768e-01
5.700000000000000622e-01,5.655254153531380501e-01,5.771599593543598195e-01
5.720000000000000639e-01,5.643954955267597162e-01,5.775978795792292564e-01
5.740000000000000657e-01,5.632678332170207858e-01,5.767374042375543741e-01
5.760000000000000675e-01,5.621424239076601159e-01,5.749334588728572948e-01
5.779999999999999583e-01,5.610192630915769030e-01,5.743844213147220046e-01
5.799999999999999600e-01,5.598983463350578615e-01,5.739556431396302116e-01
5.819999999999999618e-01,5.587796692009729949e-01,5.723114148595659367e-01
5.839999999999999636e-01,5.576632272153149161e-01,5.705962667858439641e-01
5.859999999999999654e-01,5.565490159129831138e-01,5.700123658665038340e-01
5.879999999999999671e-01,5.554370308377644117e-01,5.691428120371700983e-01
5.899999999999999689e-01,5.543272675423125406e-01,5.683823393186041573e-01
5.919999999999999707e-01,5.532197215881282659e-01,5.672210319862087680e-01
5.939999999999999725e-01,5.521143885455390699e-01,5.657129970030070343e-01
5.959999999999999742e-01,5.510112639936791679e-01,5.640326788601929264e-01
5.979999999999999760e-01,5.499103435204695245e-01,5.629646911357211181e-01
5.999999999999999778e-01,5.488116227225976473e-01,5.631204465238202062e-01
6.019999999999999796e-01,5.477150972054973810e-01,5.613965090737709218e-01
6.039999999999999813e-01,5.466207625833291450e-01,5.599898612412469445e-01
6.059999999999999831e-01,5.455286144789595060e-01,5.591035092637064441e-01
6.079999999999999849e-01,5.444386485239414153e-01,5.577814843962145552e-01
6.099999999999999867e-01,5.433508603584937813e-01,5.571976507479087237e-01
6.119999999999999885e-01,5.422652456314815961e-01,5.552057623569350842e-01
6.139999999999999902e-01,5.411818000003957296e-01,5.538823597745289318e-01
6.159999999999999920e-01,5.401005191313329457e-01,5.534942946382132023e-01
6.179999999999999938e-01,5.390213986989759176e-01,5.527838437730241417e-01
6.199999999999999956e-01,5.379444343865728007e-01,5.513819925682283962e-01
6.219999999999999973e-01,5.368696218859173586e-01,5.509976334288737565e-01
6.239999999999999991e-01,5.357969568973289798e-01,5.504662629298135990e-01
6.260000000000000009e-01,5.347264351296322493e-01,5.495494848953882405e-01
6.280000000000000027e-01,5.336580523001371867e-01,5.481497010496517719e-01
6.300000000000000044e-01,5.325918041346190401e-01,5.482121495608832662e-01
6.320000000000000062e-01,5.315276863672981911e-01,5.472060576412111077e-01
6.340000000000000080e-01,5.304656947408201706e-01,5.465005327620485742e-01
6.360000000000000098e-01,5.294058250062352311e-01,5.444648852301052777e-01
6.380000000000000115e-01,5.283480729229786954e-01,5.423272316528229275e-01
6.400000000000000133e-01,5.272924342588505286e-01,5.402690891431018994e-01
6.420000000000000151e-01,5.262389047899954653e-01,5.383529885799187564e-01
6.440000000000000169e-01,5.251874803008829140e-01,5.383914137746111939e-01
6.460000000000000187e-01,5.241381565842866408e-01,5.366321018394050180e-01
6.480000000000000204e-01,5.230909294412650068e-01,5.352387906793677486e-01
6.500000000000000222e-01,5.220457946811406513e-01,5.338702580546145215e-01
6.520000000000000240e-01,5.210027481214801748e-01,5.328916233409075609e-01
6.540000000000000258e-01,5.199617855880748207e-01,5.323482229808838007e-01
6.560000000000000275e-01,5.189229029149196037e-01,5.316171600872320324e-01
6.580000000000000293e-01,5.178860959441935474e-01,5.295042000709550001e-01
6.600000000000000311e-01,5.168513605262395894e-01,5.285663859396219078e-01
6.620000000000000329e-01,5.158186925195445971e-01,5.279073477031476225e-01
6.640000000000000346e-01,5.147880877907188291e-01,5.271705395737574795e-01
6.660000000000000364e-01,5.137595422144765056e-01,5.263690806772871600e-01
6.680000000000000382e-01,5.127330516736151589e-01,5.252714723639002603e-01
6.700000000000000400e-01,5.117086120589959819e-01,5.247945467016463805e-01
6.720000000000000417e-01,5.106862192695231784e-01,5.239546215159595066e-01
6.740000000000000435e-01,5.096658692121246448e-01,5.231970131031885574e-01
6.760000000000000453e-01,5.086475578017310983e-01,5.227088851902850219e-01
6.780000000000000471e-01,5.076312809612565369e-01,5.211341103901321326e-01
6.800000000000000488e-01,5.066170346215778109e-01,5.201324583575146487e-01
6.820000000000000506e-01,5.056048147215148614e-01,5.188402949057524527e-01
6.840000000000000524e-01,5.045946172078102920e-01,5.184440085074499827e-01
6.860000000000000542e-01,5.035864380351096070e-01,5.174995886399229583e-01
6.880000000000000560e-01,5.025802731659406719e-01,5.154187611922268486e-01
6.900000000000000577e-01,5.015761185706942848e-01,5.151343899510224533e-01
6.920000000000000595e-01,5.005739702276034153e-01,5.147420916642800881e-01
6.940000000000000613e-01,4.995738241227234977e-01,5.141973467567870770e-01
6.960000000000000631e-01,4.985756762499122807e-01,5.128800469619493319e-01
6.980000000000000648e-01,4.975795226108095104e-01,5.121726659176260021e-01
7.000000000000000666e-01,4.965853592341938905e-01,5.105751337368223952e-01
7.020000000000000684e-01,4.955931822221328331e-01,5.102244080317882569e-01
7.039999999999999591e-01,4.946029876153608118e-01,5.094691580415008358e-01
7.059999999999999609e-01,4.936147714534548925e-01,5.076766668841596886e-01
7.079999999999999627e-01,4.926285297838586819e-01,5.075490300598523019e-01
7.099999999999999645e-01,4.916442586618638422e-01,5.061793473023423751e-01
7.119999999999999662e-01,4.906619541505919946e-01,5.052894170522802542e-01
7.139999999999999680e-01,4.896816123209765670e-01,5.044936217282249835e-01
7.159999999999999698e-01,4.887032292517449750e-01,5.041684833065964710e-01
7.179999999999999716e-01,4.877268010294001366e-01,5.044079849111176017e-01
7.199999999999999734e-01,4.867523237482024867e-01,5.040825331549475541e-01
7.219999999999999751e-01,4.857797935101519915e-01,5.025929770432325805e-01
7.239999999999999769e-01,4.848092064249698852e-01,5.019457996926981469e-01
7.259999999999999787e-01,4.838405586100806843e-01,5.010389548475688848e-01
7.279999999999999805e-01,4.828738461905938695e-01,4.997656644464017472e-01
7.299999999999999822e-01,4.819090652992860102e-01,4.981336922906414721e-01
7.319999999999999840e-01,4.809462120765826132e-01,4.971266398089301819e-01
7.339999999999999858e-01,4.799852826705397479e-01,4.961387302386803255e-01
7.359999999999999876e-01,4.790262732368262832e-01,4.951978545958745093e-01
7.379999999999999893e-01,4.780691799387055685e-01,4.933837730795488929e-01
7.399999999999999911e-01,4.771139989470173925e-01,4.931652034159368925e-01
7.419999999999999929e-01,4.761607264401598871e-01,4.912264994913544958e-01
7.439999999999999947e-01,4.752093586040713191e-01,4.898704478496805903e-01
7.459999999999999964e-01,4.742598916322121050e-01,4.898128400847733821e-01
7.479999999999999982e-01,4.733123217255465476e-01,4.895469650211872192e-01
7.500000000000000000e-01,4.723666450925248506e-01,4.883997694899376296e-01
7.520000000000000018e-01,4.714228579490650217e-01,4.866361617569132658e-01
7.540000000000000036e-01,4.704809565185346099e-01,4.857027380613961332e-01
7.560000000000000053e-01,4.695409370317328301e-01,4.845003377642636555e-01
7.580000000000000071e-01,4.686027957268721345e-01,4.826214563135146629e-01
7.600000000000000089e-01,4.676665288495603368e-01,4.828080569730290317e-01
7.620000000000000107e-01,4.667321326527824610e-01,4.817634746683146507e-01
7.640000000000000124e-01,4.657996033968826444e-01,4.794834581889230174e-01
7.660000000000000142e-01,4.648689373495459298e-01,4.781153299720117267e-01
7.680000000000000160e-01,4.639401307857801693e-01,4.764485342047293792e-01
