time,density_n_site_1,positive_p_n_site_1,density_n_site_2,positive_p_n_site_2
1.614000000000000101e+00,3.711805708119118234e-04,nan,1.987184789806757945e-01,nan
1.616000000000000103e+00,4.055251640643832314e-04,nan,1.982863529811355052e-01,nan
1.618000000000000105e+00,4.413109118240232838e-04,nan,1.978535805947249648e-01,nan
1.620000000000000107e+00,4.785281773814545597e-04,nan,1.974201698702065244e-01,nan
1.622000000000000108e+00,5.171673402927581820e-04,nan,1.969861288432505908e-01,nan
1.624000000000000110e+00,5.572187964953555141e-04,nan,1.965514655363135577e-01,nan
1.626000000000000112e+00,5.986729584231448471e-04,nan,1.961161879585162915e-01,nan
1.628000000000000114e+00,6.415202551208867886e-04,nan,1.956803041055236170e-01,nan
1.630000000000000115e+00,6.857511323578342885e-04,nan,1.952438219594243574e-01,nan
1.632000000000000117e+00,7.313560527406186848e-04,nan,1.948067494886123185e-01,nan
1.634000000000000119e+00,7.783254958253757244e-04,nan,1.943690946476679116e-01,nan
1.636000000000000121e+00,8.266499582291303135e-04,nan,1.939308653772405522e-01,nan
1.638000000000000123e+00,8.763199537404197260e-04,nan,1.934920696039318933e-01,nan
1.640000000000000124e+00,9.273260134291751080e-04,nan,1.930527152401798341e-01,nan
1.642000000000000126e+00,9.796586857558451256e-04,nan,1.926128101841431406e-01,nan
1.644000000000000128e+00,1.033308536679772164e-03,nan,1.921723623195870922e-01,nan
1.646000000000000130e+00,1.088266149766816196e-03,nan,1.917313795157695455e-01,nan
1.648000000000000131e+00,1.144522126296226546e-03,nan,1.912898696273281351e-01,nan
1.650000000000000133e+00,1.202067085366765112e-03,nan,1.908478404941680029e-01,nan
1.652000000000000135e+00,1.260891664002074990e-03,nan,1.904052999413503033e-01,nan
1.654000000000000137e+00,1.320986517255301647e-03,nan,1.899622557789816257e-01,nan
1.656000000000000139e+00,1.382342318312959487e-03,nan,1.895187158021040541e-01,nan
1.658000000000000140e+00,1.444949758598050105e-03,nan,1.890746877905859213e-01,nan
1.660000000000000142e+00,1.508799547872427234e-03,nan,1.886301795090136180e-01,nan
1.662000000000000144e+00,1.573882414338411860e-03,nan,1.881851987065837895e-01,nan
1.664000000000000146e+00,1.640189104739656848e-03,nan,1.877397531169966438e-01,nan
1.665999999999999925e+00,1.707710384461249816e-03,nan,1.872938504583498143e-01,nan
1.667999999999999927e+00,1.776437037629106930e-03,nan,1.868474984330328881e-01,nan
1.669999999999999929e+00,1.846359867208535559e-03,nan,1.864007047276231566e-01,nan
1.671999999999999931e+00,1.917469695102125369e-03,nan,1.859534770127816705e-01,nan
1.673999999999999932e+00,1.989757362246847953e-03,nan,1.855058229431501837e-01,nan
1.675999999999999934e+00,2.063213728668052919e-03,nan,1.850577501572897299e-01,nan
1.677999999999999936e+00,2.137829663794638558e-03,nan,1.846092662869950052e-01,nan
1.679999999999999938e+00,2.213596057443911139e-03,nan,1.841603789467095853e-01,nan
1.681999999999999940e+00,2.290503825780671431e-03,nan,1.837110957277795498e-01,nan
1.683999999999999941e+00,2.368543904384113035e-03,nan,1.832614242051189279e-01,nan
1.685999999999999943e+00,2.447707248337848904e-03,nan,1.828113719371136925e-01,nan
1.687999999999999945e+00,2.527984832319145510e-03,nan,1.823609464655266688e-01,nan
1.689999999999999947e+00,2.609367650687375532e-03,nan,1.819101553154031103e-01,nan
1.691999999999999948e+00,2.691846717571698151e-03,nan,1.814590059949771905e-01,nan
1.693999999999999950e+00,2.775413066957940940e-03,nan,1.810075059955792709e-01,nan
1.695999999999999952e+00,2.860057752774717611e-03,nan,1.805556627915439194e-01,nan
1.697999999999999954e+00,2.945771848978752123e-03,nan,1.801034838401187610e-01,nan
1.699999999999999956e+00,3.032546449639424331e-03,nan,1.796509765813740778e-01,nan
1.701999999999999957e+00,3.120372669022532415e-03,nan,1.791981484381132417e-01,nan
1.703999999999999959e+00,3.209241641673278578e-03,nan,1.787450068157839800e-01,nan
1.705999999999999961e+00,3.299144522498464148e-03,nan,1.782915591023903623e-01,nan
1.707999999999999963e+00,3.390072486847912295e-03,nan,1.778378126684055927e-01,nan
1.709999999999999964e+00,3.482016730595098846e-03,nan,1.773837748666856617e-01,nan
1.711999999999999966e+00,3.574968470217010710e-03,nan,1.769294530323837489e-01,nan
1.713999999999999968e+00,3.668918942873214580e-03,nan,1.764748544828653454e-01,nan
1.715999999999999970e+00,3.763859406484151068e-03,nan,1.760199865176244050e-01,nan
1.717999999999999972e+00,3.859781139808637386e-03,nan,1.755648564181999383e-01,nan
1.719999999999999973e+00,3.956675442520600668e-03,nan,1.751094714480937453e-01,nan
1.721999999999999975e+00,4.054533635285013753e-03,nan,1.746538388526888141e-01,nan
1.723999999999999977e+00,4.153347059833067262e-03,nan,1.741979658591683300e-01,nan
1.725999999999999979e+00,4.253107079036541963e-03,nan,1.737418596764358225e-01,nan
1.727999999999999980e+00,4.353805076981411351e-03,nan,1.732855274950357849e-01,nan
1.729999999999999982e+00,4.455432459040660140e-03,nan,1.728289764870755696e-01,nan
1.731999999999999984e+00,4.557980651946310843e-03,nan,1.723722138061471176e-01,nan
1.733999999999999986e+00,4.661441103860686219e-03,nan,1.719152465872508251e-01,nan
1.735999999999999988e+00,4.765805284446874603e-03,nan,1.714580819467189376e-01,nan
1.737999999999999989e+00,4.871064684938420687e-03,nan,1.710007269821406384e-01,nan
1.739999999999999991e+00,4.977210818208235681e-03,nan,1.705431887722876072e-01,nan
1.741999999999999993e+00,5.084235218836709487e-03,nan,1.700854743770398581e-01,nan
